PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,3,female,26.9,1,0,4.0,S
2,0,3,male,29.6,0,0,4.0,Q
3,1,1,female,27.5,0,1,78.38,S
4,1,3,female,33.1,2,0,21.31,C
5,0,1,male,51.6,1,0,97.67,Q
6,1,3,female,,0,1,4.0,S
7,1,2,female,27.7,0,0,12.19,S
8,1,3,female,33.5,0,0,19.52,C
9,0,3,male,35.1,0,1,25.58,S
10,0,3,male,25.8,0,0,16.61,S
11,0,1,male,6.4,0,0,124.01,S
12,1,3,female,35.6,2,0,6.75,S
13,1,1,female,55.2,2,0,80.41,S
14,1,1,female,9.5,1,0,97.21,Q
15,0,3,male,43.1,3,0,5.89,
16,0,2,male,26.4,1,0,18.72,S
17,0,3,male,30.1,1,0,25.5,S
18,0,3,male,16.3,1,0,20.95,S
19,1,2,female,26.3,0,0,32.63,Q
20,0,3,male,49.2,0,0,18.99,S
21,1,2,female,39.2,0,1,8.14,Q
22,0,3,male,55.3,0,0,16.1,C
23,1,2,female,47.5,0,0,14.66,S
24,1,3,female,37.1,0,0,17.45,S
25,1,1,female,55.4,0,0,29.37,C
26,0,1,male,37.1,0,0,12.45,S
27,0,2,male,42.6,0,0,16.93,S
28,0,3,male,26.8,1,0,4.0,Q
29,0,3,male,,1,1,13.59,S
30,1,3,female,21.2,0,1,9.11,S
31,1,3,female,44.9,0,0,4.04,S
32,1,3,female,14.5,0,0,24.77,S
33,0,3,male,42.0,1,0,25.1,Q
34,0,2,male,28.3,1,0,25.32,S
35,0,3,male,47.4,0,0,14.79,S
36,0,3,male,41.5,1,1,22.45,S
37,0,2,male,56.5,0,0,29.71,Q
38,0,1,male,41.2,0,1,73.13,S
39,0,3,male,9.0,3,0,5.35,C
40,1,2,female,30.1,0,2,38.63,S
41,0,3,male,14.6,0,0,13.42,C
42,1,2,female,23.7,0,0,4.0,Q
43,1,1,female,52.2,0,0,92.81,C
44,0,3,male,39.9,2,2,12.44,Q
45,1,1,female,21.2,3,0,88.2,S
46,1,1,female,16.8,0,1,105.33,C
47,0,3,male,31.5,0,0,13.08,S
48,0,3,male,14.0,1,2,14.74,S
49,1,1,female,21.6,0,0,57.72,C
50,0,2,male,35.4,2,0,13.87,Q
51,0,3,male,47.2,0,2,5.42,S
52,0,3,male,39.5,0,0,11.94,S
53,1,3,female,1.0,1,0,7.78,S
54,1,1,female,35.3,0,0,97.83,S
55,1,1,female,32.0,0,0,74.98,S
56,1,1,female,36.8,0,0,100.89,S
57,0,1,male,53.6,0,0,74.2,S
58,0,3,male,2.1,1,0,12.14,S
59,0,1,male,22.7,0,1,20.9,C
60,0,3,male,39.3,3,0,20.41,S
61,1,3,female,8.9,3,0,20.18,Q
62,0,3,male,51.7,0,0,13.27,S
63,0,1,male,36.2,0,0,132.74,S
64,1,3,female,42.9,1,0,5.41,S
65,0,3,male,23.0,3,1,15.41,S
66,0,3,male,42.4,0,1,15.65,Q
67,0,1,male,46.0,0,0,4.0,S
68,0,1,male,34.3,0,0,65.98,S
69,0,3,male,34.3,0,0,12.07,Q
70,0,2,male,34.8,0,0,26.77,Q
71,0,2,male,18.9,0,0,37.13,S
72,0,3,male,28.9,1,0,14.52,S
73,1,3,female,28.9,1,0,11.59,S
74,0,3,male,36.4,1,0,8.95,S
75,0,2,male,45.0,0,0,15.98,S
76,0,3,male,16.2,0,0,9.47,S
77,0,1,male,29.2,1,0,112.68,Q
78,1,3,female,,1,0,15.18,S
79,0,3,male,20.6,0,0,10.19,S
80,1,1,female,19.5,2,0,60.91,S
81,1,1,female,33.8,0,0,116.42,C
82,0,2,male,42.8,1,0,4.0,S
83,1,3,female,31.2,0,0,9.63,C
84,0,3,male,49.6,0,0,23.06,Q
85,0,3,male,43.0,0,1,4.87,S
86,0,3,male,42.8,0,1,4.0,S
87,1,3,female,38.8,0,0,4.0,S
88,0,3,male,63.6,0,0,13.2,S
89,0,1,male,28.1,0,0,135.93,Q
90,0,1,male,3.0,1,2,89.6,
